"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
2410,1.00270531102373,1.00813854957016,1.00035949751617,1.00589814098893,1.00440874024881,1.01575078563142,1.00366554136979,1.00892480628905,1.00869217572633,1.00465582017197,1.00893460710593,1.01066897488527,1.00733695094924,1.00446850580959,1.01170016249529,1.01309539689769,1.00670231926588,1.00511075882786,1.00962403788573,1.00291584193132,1.00844330498292,1.01527909840788,1.00766187195281,1.00516405077512,1.00889766801916,1.00221674411279,1.00683087141764,1.01020339262363,1.00689413624357,1.00452321537156,1.0109589648318,1.01273243255314,1.0113103623113,1.0038063997901,1.00841885939441,1.00342127591279,1.00691267423334,1.00887726710411,1.00580859743564,1.00989123309041,1.01237724775172,1.0057502648228,1.00704919230256,1.00504463668588,1.01011010980454,1.00796475746827,1.01198857229307,1.00705168544746,1.01345548924702,1.0102030681662,1.01182838872856,1.00413903982848,1.00998644064272,1.00731831210845,1.00857413945714,1.00521451417139,1.00818836749,1.00384091399624,1.00688926574292,1.01125676324221
2600,1.00324511000145,1.00707853649816,1.00258812653507,1.00387306912028,1.00369431088415,1.01491194772197,1.00216642391899,1.00584168235234,1.01185803197839,1.00660898203522,1.00944681720775,1.01097531730333,1.00894822190841,1.00523617806544,1.00955414087329,1.01046876924381,1.00816050234907,1.00627294398259,1.00880058962888,1.00587882086731,1.00866832114797,1.01283932423797,1.00786812508046,1.00463329129836,1.0089198355717,1.00536766719701,1.00847795739411,1.00942910919986,1.00756424949839,1.00524244717916,1.01021068068948,1.01126495207326,1.01031960794057,1.00433596742979,1.00817068758301,1.00648254874892,1.00859183766996,1.00886852603133,1.00485533215056,1.00868453854307,1.01015072679316,1.00749931708442,1.00801039663274,1.00695839419278,1.00984918545867,1.0077936256762,1.01005706470115,1.00748312678456,1.01235812249807,1.00978846083263,1.01086684812943,1.00593546437498,1.00961027156869,1.00860008563721,1.0084317400172,1.00631497238108,1.00809649627799,1.00596072968134,1.00784950460992,1.01013457075934
2790,1.00423204352761,1.00285537104106,1.00512305021398,1.00481801972733,1.00033842976649,1.01122683813268,1.00181191401193,1.00248885788694,1.00347192164381,1.00196917982079,1.00211647231551,1.00396685753525,1.0028872125948,1.00015100608644,1.00187742676135,1.00264739027746,1.00191005844708,1.00138960845727,1.00048291740409,1.00195817007719,1.00125472233539,1.00493220493428,1.00211511114119,0.999671662314724,1.00269313041794,1.00214556625924,1.00169974744721,1.00075823703962,1.00072393378352,1.00039423306649,1.00255369427071,1.00426888777314,1.00443996725663,1.00030786604271,1.00127227431635,1.00224924448032,1.00352341403492,1.00136334677848,1.00110961979938,1.00048425048346,1.0029738887435,1.00148712752911,1.0008482569687,1.00202851999881,1.00368881457903,1.0000087233015,1.00184991962131,1.00263938070392,1.00402484935002,1.00241757237358,1.00397759621425,1.00262238037904,1.00367309012614,1.00167608955284,1.00005658027841,1.00066174883549,1.00010632112074,1.00152775002629,1.00115075559454,1.00143527151724
2980,1.0031378840619,1.00138905133265,1.00462946713035,1.00606037115834,0.999828353610657,1.00961062647317,1.0028687692975,1.00150620840697,1.00703359686111,1.00377491288832,1.00602622281731,1.00702777226751,1.0045314512525,1.00103370432873,1.00368813198521,1.00412730086467,1.0032795207816,1.00040408967224,1.00201190236604,1.00014159800961,1.00313802593063,1.00676763107078,1.00364720309178,1.00030267222422,1.00523586416563,1.00114832567816,1.00297618001351,1.00272722367694,1.00152222443248,0.998762020413685,1.00445393778969,1.00585683190668,1.00598545973327,0.998420897804598,1.00227835359124,1.0023519464905,1.00502213824413,1.00267769282935,1.00527914014295,1.00266719723939,1.00491685971189,1.00209217494383,1.00202504880343,1.0029691384032,1.00576106630496,1.00098881211797,1.003751869245,1.00458918532052,1.00626996875737,1.00430036648262,1.00598669252396,1.00343592359844,1.00505078505893,1.00333926363647,1.00236264419845,0.999434661631383,1.00128070647667,1.00294513222387,1.00281522877266,1.00372194190966
3170,1.00498773908752,1.00249122475811,1.00349543414978,1.0043543591286,1.00141465661073,1.00859718900637,1.00145772087611,1.00376497122848,1.00925541157749,1.00710649461476,1.00863414168691,1.00705780618451,1.00748531746627,1.00351147676375,1.00629192251326,1.00678858218701,1.00602685987561,0.999747376818512,1.00395311282982,1.00034358686846,1.00577130588388,1.00901851976209,1.00686406800542,1.00036826889865,1.00807290182205,1.00162835801833,1.0051204292717,1.00459274273837,1.00339687970329,0.999064819568959,1.00740788131838,1.00895726144899,1.00889804964105,0.998473776567194,1.00500361336403,1.00346909830285,1.00811879065031,1.00513964376902,1.00977983610226,1.00471955880418,1.00719862217111,1.0039969460551,1.00417346740396,1.00555328947311,1.00850526887007,1.00233660496641,1.00607685483354,1.00740512320456,1.00912385538127,1.00714738318317,1.00878281423761,1.00641747117621,1.00844968956177,1.00590179785861,1.00386688553733,0.999623415916029,1.00271937164367,1.00584135898474,1.00534274601421,1.00587778739411
3360,1.00786914510416,1.00105477423098,1.00667865273957,1.00263180061355,1.0025776151346,1.01062143928375,1.00317125181936,1.00771361856724,1.00915184982745,1.0084689251773,1.00924831784952,1.00766707362733,1.00930228336371,1.00413684667173,1.0063651862251,1.00736302398536,1.0072819938905,0.99851773335887,1.00351996351481,1.00063002038327,1.00593160366071,1.00947929439538,1.00810941517423,0.999265228084396,1.00803727939744,1.00287479039703,1.00588830561589,1.00389509422149,1.00379617789432,0.998627670903696,1.00793124923302,1.01029369024242,1.01006348735752,0.998304966685775,1.00619178220973,1.00485646817776,1.0108844766614,1.00585207792191,1.01030667232853,1.00414654204581,1.00723047512693,1.00485909014673,1.00437050717789,1.00736915123931,1.00900526032014,1.00169240824288,1.00595426579928,1.00763090549596,1.00987550930721,1.00820518706901,1.00951708079575,1.00886854413047,1.01030700515673,1.00681649263655,1.00267330987217,0.99887988732184,1.00199243016855,1.00705994057563,1.00575012022785,1.00536218174794
3550,1.00381959224224,1.00094131899103,1.01031161006874,1.00350740472244,1.00156148686868,1.01205679681594,1.0040223152445,1.00582724739778,1.00509425115126,1.00716664862107,1.00725838907705,1.0032420677458,1.00769267348811,1.00259714630281,1.004846564227,1.00591924920091,1.00536557199828,0.998793523042742,1.00162344059217,0.999808263190871,1.00394787963179,1.00877907409455,1.00666748654914,0.998863742941215,1.00699625486103,1.00145265863567,1.00379811313289,1.00196363644087,1.0019659864151,0.998758394407625,1.0063071721235,1.0093127091321,1.00941889751978,0.999017030183661,1.00411925378661,1.00316728982492,1.00976924405253,1.00372852125192,1.00976261262054,1.00242565387652,1.00650365432465,1.00281437015031,1.00244931851692,1.00557680864786,1.00807253085794,1.00011292662649,1.0043256164084,1.00668427357526,1.00845310954074,1.00660351584353,1.00833611115666,1.007832835302,1.00927202789856,1.00478775321039,1.0009186611239,0.998731986940488,1.00034814261422,1.00559439034403,1.00383322617169,1.00342023935511
3740,0.999231713886656,1.00025133455478,1.00993081569042,1.00207459005464,1.00091091363455,1.00930825710089,1.00274333628194,1.00424904307653,1.00484703242311,1.00841784264936,1.00705092604758,1.00330003810772,1.00843991701708,1.00377058658099,1.00520531696418,1.00574702566753,1.0063334005809,0.998371123415936,1.0023984243656,0.999775117061436,1.00502571714107,1.00856532809291,1.00751689394405,0.99899700126762,1.00834669523356,1.00157136134872,1.00450020440931,1.00289710800835,1.00257319804797,0.99861020408672,1.00703931553897,1.00917489498501,1.00941158926763,0.998454958927161,1.00425046765548,1.00357416099473,1.01007632125668,1.00425003346405,1.01100833686444,1.00336674548394,1.00682696465772,1.00326998844249,1.00321345281397,1.00635926871877,1.0089393653148,1.00079052101065,1.00490672295471,1.00804111273948,1.00881223222421,1.00709104301947,1.00883699535004,1.0086714376078,1.00935324257146,1.00559595833118,1.00194628564938,0.998714710245551,1.0010683712924,1.0069367579046,1.00494856943867,1.00435345930302
3930,0.999394514711288,1.00005879576241,1.00697645803533,1.00186838848194,0.99911860529826,1.00800087074978,1.00555519444926,1.00311866868285,1.00349759034714,1.00827610923652,1.00508144056439,1.00182702821713,1.00758167039601,1.00357443743654,1.00275094139976,1.00298880184594,1.00570264199083,0.999235933428912,1.00114827605045,1.0001430062495,1.00377305969852,1.00545514238301,1.00654069837123,0.999423646948958,1.00674634394629,1.00186652512932,1.00370701708862,1.001514196117,1.00189359072426,0.998978029704353,1.00495052221983,1.00666398468423,1.00747493003481,0.998828266669731,1.00254259512693,1.00382743237549,1.00922141783277,1.00273210318529,1.00677336619881,1.00188478186036,1.00433525461336,1.00266779082352,1.0026164319708,1.00605591872433,1.00730795697381,1.00027231176727,1.00262033945877,1.00739923759642,1.00597165738653,1.00514622238787,1.00656151762899,1.0090957711961,1.00756949305849,1.00476965589026,1.00135077899694,0.999223614321796,1.00055626267311,1.00732582223577,1.00420126545855,1.00231764142136
4120,1.00175653353274,1.00051540475045,1.00728103781916,1.00316564784265,0.99856685887302,1.00752686304868,1.00711707319805,1.00551054052936,1.00451796668949,1.00815088674113,1.00593181737528,1.00177825671585,1.00721225840897,1.00318181111202,1.00238126412393,1.00270958762975,1.00501493559161,0.999324911419079,1.00035480674436,0.999540221573629,1.00305196221144,1.00511019741703,1.00605624512094,0.999560042419819,1.00631107308419,1.00140471902983,1.00295268984645,1.00077120990549,1.00114750803854,0.998378066841626,1.00440745694031,1.00633748094313,1.00709193411097,0.998334807745509,1.00190048279291,1.00340882659567,1.00909290896507,1.00204336235007,1.00651382377683,1.00127605773154,1.00395284358388,1.00193100878101,1.00184300980133,1.00569639771288,1.00685260783596,0.999518374798527,1.00214784347113,1.00711326350268,1.00543712084314,1.00468730294624,1.00620102151321,1.00910066934129,1.00724750829453,1.00407049551897,1.00068447695034,0.998702153137086,0.999771997403239,1.00704136044605,1.00354905237244,1.00171485202433
