"Dsum","a[1]","a[2]","a[3]","a[4]","a[5]","a[6]","deviance","mu[1]","mu[2]","mu[3]","mu[4]","mu[5]","mu[6]","mu[7]","mu[8]","mu[9]","mu[10]","mu[11]","mu[12]","mu[13]","mu[14]","mu[15]","mu[16]","mu[17]","mu[18]","mu[19]","mu[20]","mu[21]","mu[22]","mu[23]","mu[24]","mu[25]","mu[26]","mu[27]","mu[28]","mu[29]","mu[30]","mu[31]","mu[32]","mu[33]","mu[34]","mu[35]","mu[36]","mu[37]","mu[38]","mu[39]","mu[40]","mu[41]","mu[42]","mu[43]","mu[44]","mu[45]","mu[46]","mu[47]","mu[48]","mu[49]","mu[50]","mu[51]","mu[52]"
482056.360500213,-2671.65409857627,-1503.55198701601,1575.56254455998,-5658.51964973431,-830.837981735201,74.4866118896984,611.027189387127,-538060.851388138,-449734.926387409,-901311.685628442,-407986.423213465,-928260.746298889,-387705.526099271,-833667.136725384,-939563.756502373,-676862.806925786,-420297.070094135,-937174.561639974,-858436.012002161,-731827.963105272,-846375.480837493,-553034.659008757,-233710.993290969,-449303.18036685,-646312.151600256,-998213.835315268,-844112.074396042,-833847.487076968,-584278.418659606,-924138.698742558,-866434.134359538,-608674.912069307,-369750.071442926,-1134226.31226699,-669905.409026187,-1057132.58156196,-918774.522840061,-828044.744213579,-583684.005161884,-591931.269179473,-1011441.67524941,-684348.991086449,-535659.045270072,-456190.988422174,-709191.371657043,-652118.870087722,-294012.176057082,-1110323.55567583,-844870.93008753,-774700.702457546,-669697.687033366,-831776.081636247,-877559.564371429,-676232.365053809,-784477.464998543,-881505.592646812,-463443.289477759,-622366.538526375,-887849.208205035
902290.469573174,-1775.36953496772,-2348.11446657931,-2217.30670718699,-180.686624746666,5869.63981273179,3762.61685614369,615.216672789779,697628.124272593,693952.212973325,369205.310951895,323154.941758693,963750.035325831,279174.867428914,347972.49988615,433698.82348572,506931.137027588,-313169.402734625,116309.047599785,-60437.8765502099,366549.804180317,713863.872035563,587201.240822678,-128580.474375852,615548.236232493,184413.628632715,430531.68137825,142322.006584908,210833.874764335,-243379.44866876,630594.870745724,874229.462063182,826488.041065169,-179316.539973966,413375.566600778,335900.165752749,1411988.2473073,348727.163975348,567657.240022884,169886.119016712,449030.06537361,313921.327927354,215770.16633668,472208.00003502,724176.458707465,-25854.5416977553,284672.797940138,658686.683061393,897856.04319559,610249.697321409,807133.178367016,1119892.78339983,993799.007092739,545656.849413517,58968.4448507395,-347734.561057306,-7737.19860447961,600292.001717877,355312.219587371,287514.580708721
696.64294779775,1085.38615072978,2728.38470852472,-1676.869233202,2541.74694451522,3324.23881488543,6576.2552404965,264.924836364742,410208.558023127,1036301.34333401,1231700.30981763,670960.283190133,1579111.90413595,641106.180658581,674312.384122262,739118.63822575,1011323.92126172,153746.601410707,618566.544933975,773219.956101239,808932.723950451,865673.038034876,929350.6239775,136019.671179749,747232.634986744,830627.25934442,1145671.64976366,599881.78310254,801503.603865906,253767.311435011,1042947.96681129,1177891.83098388,977481.961849702,173638.680046213,1057210.45980315,966013.968980576,2102109.68490331,895916.586311799,497625.068173197,473485.725251856,640254.083144318,1043430.12318525,667133.909661318,915207.708368457,830986.667749906,432182.123659087,569078.08865919,776251.011640761,1263311.27260454,1047224.79756956,1055998.68885457,1736805.43628972,1400667.41957879,1163069.28518201,491528.338152823,318519.122225998,519029.315362604,1032703.39554218,782372.970446958,671290.050121245
583986.107861349,-2545.57188369924,1353.34048472872,-1726.09692297765,-3248.94692752441,4572.17608527113,3868.85849433992,593.561174417396,192857.918742283,471455.725900695,-265667.909534037,449901.432398,454619.477904624,146245.127146805,-35547.6702754454,-31180.1457828274,202383.580672852,-438034.976210776,-319760.72670001,-395040.556391073,34553.9523154912,251327.208772548,337139.029260102,-148998.388220301,380953.42972746,-69797.3552738895,-80662.5628774288,-274398.200336473,-155231.516593141,-426105.047368375,181649.394010771,425030.318195565,520768.698162442,-245926.877368894,-112410.372161602,45522.3184017967,806387.221884177,-108878.231986062,298371.131433651,-84957.6276559653,171991.831657871,-160439.95191796,-97481.2131766996,232428.501817508,449160.560095528,-354411.249110897,-37148.5007175538,485545.242474147,266652.038817376,187472.863676258,390851.98041475,816777.16026422,584436.725403398,135232.897259627,-232751.997410365,-646607.485344049,-424667.999523223,401388.360700264,74811.5629510017,-160922.166337947
333275.87491946,-1275.80943308741,-3302.12755680605,-1141.96304536454,2252.86025426161,-4153.3387693345,4210.80069077963,588.992703916504,131156.331015676,-86095.4369878495,-302626.536785731,-495676.654917526,77069.5450888904,-87093.0030346292,-317858.100173729,-270866.894506724,13153.9684178761,-12650.2993756224,-172965.01451849,410558.054225198,-151100.467351659,-559152.997623818,-185294.280328796,-133066.896773462,-448895.025980903,376541.722853354,207587.268206257,-186123.804832166,72626.5102327033,59402.6272989339,-307067.169029253,-421486.854950278,-493075.126331914,-6217.67017567001,84618.144723864,337129.058380854,194335.248418945,34578.6842562488,-411230.910464377,-256818.555183331,-460295.924648052,270760.527508862,12211.2783346322,97866.2706418453,-471780.890384718,-48595.6713663776,-266722.641541839,-424178.306091389,-413578.748931641,-161441.497649198,-449268.177503715,82089.6523651918,-303362.197340885,-17998.3037314833,-292925.010541022,104858.904761571,-107529.060566339,-46794.1055261727,-71893.9798615407,-270184.447526891
723551.986776848,-2280.46915028724,4318.50754586582,-7013.68517723597,-1090.49739259881,627.166281755822,-1072.62256448167,625.150893335358,-500127.975519744,-512268.077513759,-582662.952903631,-899190.13702431,-630908.531523936,-240361.078589541,-339558.21543863,-258436.9594606,-474448.874366097,-655512.410229545,-656628.534919587,-637439.724607289,-513224.392859188,-284726.690465189,-296943.142704492,-345344.494008664,-528138.354506229,-356794.581946661,-706892.124335227,-660853.304454898,-493241.342692084,-449382.582867306,-506945.44948306,-336729.165993168,-323086.438678602,-250060.980418072,-417517.105563194,-445270.577150206,-641442.634157231,-452528.355918529,-656403.648446593,-386888.079803082,-260742.726485567,-612378.906110199,-479687.252313274,-317306.229799315,-445219.64011117,-591413.109528001,-336752.819838313,-429398.099556133,-609096.382560452,-436909.027497951,-468134.829914824,-538620.019775015,-379868.645710965,-654841.968553728,-769951.532251015,-727367.592432824,-743263.492380916,-507372.476139722,-493307.810781596,-648688.617828254
745738.176301317,4388.74744733136,2935.59521178306,-409.63138660329,-1183.64072812534,178.473137320042,-4579.93933403802,606.462217703452,-377110.244834428,-397018.788977452,-119638.075950183,-665913.14595793,-631135.304556514,-159322.678203013,-51022.7562764652,-65830.6460793727,-391473.462202025,-66311.7474498465,-134435.285552882,-392885.976105867,-223041.990719875,-62681.382967614,-264695.961086843,9636.6825437835,-161903.551691867,-413650.227787081,-488394.191004553,-126227.270143446,-271036.986156672,-66399.1615250065,-246724.92789347,-234088.756075969,-171291.020411585,-4787.43460278134,-337470.694239053,-472068.755745544,-893607.976335092,-281357.513589991,239976.802966231,-48531.4362671061,-20071.3308119467,-443322.944213012,-223422.562531403,-347552.986381515,-169041.69308028,-103336.546136657,-46195.216451861,-168721.710905404,-299922.078693227,-290494.128983509,-210622.081896556,-735169.080801429,-370638.820371394,-415117.107823641,-78253.1001678799,-122422.978206206,-130671.481680497,-407570.230721551,-253778.962202381,-113374.555718496
819987.579093796,-914.028037054167,-1942.56599309201,-4691.9126539647,-5354.97890349754,-6192.33153080951,8336.27762062525,627.129631587085,-1167202.47788149,-779317.440204198,-753010.797291873,-2209663.2074043,-1166406.75457403,-658435.290069143,-1645866.5951743,-1699650.84041087,-941261.928303328,-1025963.237152,-1890433.67103315,-807406.882515281,-1376168.73541277,-2061500.47574378,-993011.937259939,-677139.096443899,-1440865.30689491,-363305.801544063,-1311110.59865933,-1833561.81745924,-1202893.369199,-947216.880656869,-1811447.16140189,-1748107.39370049,-1437065.5044844,-602659.402503295,-1483449.85372637,-458208.633423409,-1018753.50071656,-1382701.3344787,-1176215.54992213,-1377253.17611961,-1530693.64933502,-1138652.60416685,-1069517.15114319,-558150.449053781,-1389071.95571289,-1424857.40855432,-1420399.21772944,-1100502.46964607,-2304782.22649936,-1430255.94414426,-1775383.30223571,-568508.537944887,-1472412.37026348,-1306734.29370206,-1777272.44216489,-1434863.4254329,-1816181.85875708,-704574.901859503,-1080589.54368356,-1997154.85250929
223871.015757042,565.016806558671,2543.01751727161,-5743.60910204373,6387.47550704838,-244.948446102465,3916.33924491479,539.103058240674,147125.260272609,425202.346044447,785850.923533363,567687.339134691,1047849.06129743,353109.73141778,610706.598130298,772714.645061987,740323.167976424,100151.125044924,627441.467684646,918290.645006877,557373.628229235,534743.253738665,523620.916403212,9151.97340443642,139915.248031085,869710.191550804,999413.666692988,488345.560882234,748334.449788296,407095.545565939,742411.999130648,758874.431244213,436111.386127277,250601.88829755,1227299.84651796,862145.555171278,1395281.6945373,872912.718945602,427309.987833529,310831.749817954,334152.217233008,1077491.530647,581909.169617895,672676.634168645,209126.105457241,431371.304623835,414760.355808811,52727.9185515202,862495.573997179,745356.27099702,519353.345760381,968562.148715817,834666.905735738,829830.241266648,233705.033783667,495501.350774065,537485.413632993,472295.186224536,511545.772373604,501054.43256046
76865.8954910117,-1067.02520941347,-7755.61452563292,2236.22175493732,-1856.52189792387,-4612.72464762325,-1940.87186385156,470.528986675206,-526010.685790565,-905250.703227859,-1247435.73681857,-1017970.99987967,-1184782.90556667,-563639.841788601,-797398.495066732,-881761.750901392,-777983.464684459,-128819.421453743,-679947.559205144,-469062.328388014,-750558.028880204,-1049567.09468916,-819681.401358965,-208735.265823026,-874817.059926914,-512298.2711925,-814044.458121899,-629275.707918821,-687490.992782575,-281500.859053668,-1095358.84804664,-1226610.44834827,-1077905.64451332,-281164.899122047,-989638.38654354,-620793.733576967,-1506296.92386828,-769938.852032337,-419202.727566106,-567607.445675964,-831128.995556033,-789270.752183769,-593820.339921279,-709219.433997115,-880595.93828033,-491779.853997577,-641962.633779642,-737503.607707831,-1283647.7516892,-972050.730606624,-1105812.33638536,-1239796.25767661,-1308637.55445424,-959295.096553656,-592488.318305767,-298209.223549812,-562009.442568545,-797675.904279957,-725280.539509454,-822737.971003943
