"Dsum","a[1]","a[2]","a[3]","a[4]","a[5]","a[6]","deviance","mu[1]","mu[2]","mu[3]","mu[4]","mu[5]","mu[6]","mu[7]","mu[8]","mu[9]","mu[10]","mu[11]","mu[12]","mu[13]","mu[14]","mu[15]","mu[16]","mu[17]","mu[18]","mu[19]","mu[20]","mu[21]","mu[22]","mu[23]","mu[24]","mu[25]","mu[26]","mu[27]","mu[28]","mu[29]","mu[30]","mu[31]","mu[32]","mu[33]","mu[34]","mu[35]","mu[36]","mu[37]","mu[38]","mu[39]","mu[40]","mu[41]","mu[42]","mu[43]","mu[44]","mu[45]","mu[46]","mu[47]","mu[48]","mu[49]","mu[50]","mu[51]","mu[52]"
175474.150460677,7566.88213129897,1267.1221748603,2234.02146646613,1003.34823621967,-2551.88888722151,2254.58399053623,518.635767727344,341827.351528593,205549.376226547,81445.9376099426,403198.798305615,292737.315971053,169596.569300032,74136.0756967801,28067.2570815767,258811.84500233,365548.444288864,242160.34504467,529694.298307784,220689.213120066,-90569.7954197174,129579.905498603,193551.12682668,58442.518369054,375776.998225019,387531.008765885,224484.197258599,293679.105061151,305955.651145677,130498.83091682,229.502169543252,-42046.1297176232,207428.127638231,254290.426374895,383235.219612531,301476.243850792,236391.975199627,21133.5170246091,123298.882638879,-15999.62818183,410372.395795718,264573.56916185,224852.42231934,-3803.15937469646,261952.106983517,69876.9116274663,40115.629242606,53592.0448184203,133485.819544915,16878.9617845291,329471.729621449,69158.8377448079,297433.344850394,259384.201794483,454992.274768276,314262.321575937,264783.18936168,233825.627088574,158839.288193029
362107.29820213,-762.179487504512,-8159.69892937815,1466.76271733566,1563.48345392399,4912.42878478975,-720.237419363728,568.103098484051,374421.466211153,472508.069463769,275163.207782417,424924.865233689,752062.29587694,187917.115265694,510622.519921282,568241.750640616,415814.308358225,69459.9785762968,562846.256442631,106982.283040071,402388.611523999,871274.466405526,430639.177913011,4690.65779163153,613084.840827146,76145.2624911034,521160.525451662,556246.091345567,304816.928312359,47539.8253574839,718041.23787854,873670.717024123,754517.787062449,-14727.1381382159,500183.350877899,181070.161403491,942484.366912712,481628.977138471,236627.97080263,392394.235319718,538157.022701396,379993.891924452,287716.850286951,238650.178777617,671295.838385677,308512.671011459,435402.611038701,587288.115801624,1045666.36127063,628620.211128114,753117.426100523,581288.549650406,835298.810161758,615198.845856496,452433.253525444,45606.0992989569,447267.868781521,324720.025704996,340992.748514618,682244.331606858
147514.554892878,-1355.86507218609,-1249.94449596506,-1163.07461482114,3769.3252154694,6437.11473521503,-480.832343664908,506.589731001775,977456.935519853,804759.036310242,1824465.20346785,953953.4438443,1294950.22774174,477623.299589389,1015444.15217934,1150804.3883107,837820.392883514,194259.062933117,973428.735656261,451218.468126784,887054.175164154,1424517.70849444,861204.949351446,157848.614358081,973817.565749715,427608.220026677,1017188.81648407,938236.860760126,763544.951384198,283501.499146778,1282525.20383712,1423409.72515691,1187370.88788861,159354.106503711,1137541.17521991,550514.259695569,1603803.02507335,972019.888691601,1435943.60137285,713115.446531416,970189.17889284,879551.254055218,668867.218472896,638713.146899235,1056674.54153139,644392.395355856,839481.108789179,844676.048437522,1712313.05995046,1126283.23456276,1341474.20816916,1084285.59658921,1390804.54992431,1037019.89080554,776727.323036198,427859.682430396,834047.202592712,722226.774183274,744822.960243766,1109431.69487669
477156.853265604,-2780.67128451655,-2169.36665183233,996.051983901562,-257.492215415954,-635.098482507624,3060.33069338194,596.729165951219,48803.789019485,183394.906541152,78551.5371256064,309869.944075094,211834.341437796,17015.9359597827,-116954.089329747,-144897.834050841,122618.0355409,-1042.38475381472,-76877.7829633432,134951.253275011,17853.5102396435,-162592.232245764,43651.3232301626,-39669.5027750852,17304.4870250711,163492.684219426,140195.119003931,-77389.1531873375,20863.114929277,-39427.2689910902,-21087.0792759461,-51315.1996074958,-22406.7314666785,-44066.2927747293,11010.5542314236,196163.934037485,362824.044022509,2828.42562895054,8746.93316149092,-85690.5955258477,-127490.363668769,124099.949567998,40339.5186376169,133418.915004153,9354.04679905584,-47572.9406825915,-101528.772181713,37043.6114395144,-40316.4001371616,9110.95207326603,-31725.9583027502,339717.804411312,56979.9793880049,110856.082098077,-49916.5387121496,-12609.2359427284,-40820.4963952213,193103.441206633,60168.870422981,-81377.9597644641
160658.240636697,1142.40810368039,-1135.24329103921,-5857.89412457264,1278.70923120375,-794.189180978881,7463.26546431399,533.550500772335,183088.297352591,171027.378643811,44495.0687661558,-294323.81908132,450842.648658772,6388.57315086713,-264928.11976355,-163337.399407011,187193.162661186,-496116.666395949,-430715.980081828,166209.636207978,-150205.096526594,-346240.865987375,77170.9382399775,-340231.330205559,-323696.607080624,417541.40183164,176255.432761184,-457922.634955353,-11951.6805090391,-274997.997268394,-155855.521389169,-35289.716351253,-108693.653056075,-194265.731481673,176481.306237092,431291.99761301,892138.359199101,28973.6281600465,396365.323189099,-363507.699125009,-334175.26920307,242351.601283417,-56920.3271752783,309401.782114564,-233402.235921706,-373596.424540137,-291524.549141367,-208543.500029472,-197364.453295782,25409.4778112961,-187422.332477505,717418.277163756,182364.565076562,103285.366215617,-626586.249152803,-467289.969520031,-488944.177119941,194937.292928805,-46385.0676683336,-469319.620849456
1006455.55565672,1469.80235721886,-1741.63491368346,2815.92895180028,-6655.91049617775,2284.78956137424,1255.5918082551,613.192805502542,-640761.627952949,-5273.13171369157,-370563.750688228,-790320.76161305,-431287.86247649,-181313.79005039,-559873.917689043,-677107.582324327,-358884.84148074,-390464.682851147,-735324.215789175,-844626.205094943,-418042.418856096,-396448.3821433,-200477.564168255,-148719.664260989,50073.871457434,-585933.199020238,-757095.364429773,-634384.624578942,-665869.921206043,-589335.072456711,-481433.766430499,-353819.402384944,-59489.188492891,-375538.380365894,-956180.068249001,-508292.27243135,-394810.645912681,-729945.453366324,-843645.995299731,-371651.557432152,-260021.872201856,-845307.900297369,-499016.18916575,-299355.705884691,49987.3328922743,-615674.865957801,-417899.744454414,200884.117983694,-559242.570781279,-477947.438313928,-228030.064221341,-45872.0763678717,-261709.86161925,-514513.979614602,-410011.519441254,-801381.224224148,-735347.398370643,-53362.4938265624,-347723.620708675,-593004.126676825
17925.6639406322,4235.04673258029,3067.4177666992,-7.35250632162653,1794.76522311436,-5373.88515592219,-815.634787404936,417.675874717187,-94499.9472914141,-409649.857157821,-201052.969482879,59951.3614695717,-453534.76518442,-115854.247641792,-197741.22076519,-209687.915295685,-216941.998681549,249087.682623953,-7864.58903937077,335135.194469859,-193585.011725002,-550311.244131412,-351495.132153211,83046.0933044242,-529546.271156806,136569.638059498,-68979.4117673462,-64861.1670591769,19414.5452035234,286927.799792381,-377448.063594721,-576269.235118275,-612739.058792514,207748.983730921,-42152.2530565128,17975.986715251,-699703.423287088,-72541.2408350185,-668339.994258607,-118418.53187784,-360497.282670721,48468.7625085867,-20732.4955289423,-164450.527177944,-575721.512358371,94594.913650876,-172989.297201933,-546356.77322104,-601667.818993362,-331936.017240446,-577211.119765432,-570736.893028714,-625237.880282668,-222298.083021876,-65217.2845034353,373135.904824493,84968.3525165831,-328694.775305761,-152364.983876517,-185275.333770376
508179.040556326,-3274.58584740598,-4613.96122028286,-307.899186483173,2801.32954054932,2963.811956083,5563.57909121638,593.340987429493,798719.277625315,846574.052311944,732430.76427946,1010866.94333714,1313479.86371042,379624.988891146,474598.391815728,515618.332299141,800197.630921146,78275.5562048527,513898.722308617,611179.539542935,644583.26046962,637365.044176192,646112.074903775,-25857.0238364172,608434.440926255,651617.339004683,987722.845117645,491112.704715661,596139.209273867,114889.461893102,836198.776237935,907427.364586689,710532.666356809,-40189.7967508172,874364.126225278,797209.392088044,1811783.25070589,741741.904391192,961409.477428594,308585.162129515,418508.894389397,869340.483517182,507509.816455871,702046.136705759,677723.917917399,359647.875650213,401834.367790837,547123.290132344,1098444.36242365,810586.487691829,827304.552602356,1357073.49682498,1080441.28190552,908532.04434837,370396.528251661,258810.951650731,446535.674467692,812668.456279639,607200.929379212,571170.511490164
440050.259818823,-3947.56920353214,4128.882790616,903.419166955392,-656.254013450462,1202.73870583775,5612.43334800971,566.645265011489,-37391.5997434917,749939.625291503,533282.434820411,217622.288625227,919240.21768015,426084.165752179,235196.365462176,177444.699229882,605681.509989633,148089.076209337,203564.866765233,411947.894989664,417678.484023884,292156.656057556,558336.224636889,167743.769766046,478092.678099193,472350.724052196,563665.791667541,205262.190423733,383153.50983701,122568.107015037,498174.958012624,551554.626654552,572772.800610495,126742.155357681,426740.334454062,579938.33674292,1211731.50430792,339125.408828385,497887.162581825,198971.824756859,275458.632916629,502956.386160759,358117.42763946,557104.373130853,507698.846028052,141671.354011951,196247.548413303,526712.94253926,515804.964071719,503494.365806767,522791.008593542,1196498.93132362,745278.131634718,658821.374279236,268518.97604209,125880.387790288,178268.94310417,739019.96518498,466605.931350883,224779.914112328
3143.03365220536,1816.97444148365,277.209016206118,-349.914107876555,-872.976602167288,1379.55541630055,4019.26884281432,328.846806950637,192258.201013467,397771.573748976,135143.402528291,-24726.1644618924,496452.339279567,165880.06079583,13361.5143414185,14086.5653556746,280154.210474594,-106804.827643715,-66335.9162121232,79329.9015174745,138050.107469749,99221.8695628704,274353.358717764,-30220.7979661311,222972.520723495,201765.464905917,213100.924391732,-48275.2921258504,85333.9607818964,-107404.278383729,183965.422854093,265926.950356366,280710.751054166,-62446.5759903453,116952.922649282,277156.662488498,748203.253682643,98197.5910400381,228807.621210059,-5127.85393256774,68788.6973098565,175013.218946178,91318.9617481904,284028.74837786,252036.373679842,-79435.3151717148,10130.0946727939,286090.161968062,217364.689074768,208560.930713071,247288.801129653,708155.097010112,401984.450869422,267818.382798531,-39917.6148270058,-163071.660536777,-93754.9768976692,386319.03378003,171246.343405793,-17907.2038716139
